diag_type,time_point,feature_type,rank,feature
oral_pharynx_cancer,0,combined,11,olink_usp28
oral_pharynx_cancer,0,combined,12,olink_gdf15
oral_pharynx_cancer,0,combined,13,olink_lrp1
oral_pharynx_cancer,0,combined,14,olink_cd274
oral_pharynx_cancer,0,combined,15,olink_gnpda1
oral_pharynx_cancer,0,combined,16,olink_igfbp4
oral_pharynx_cancer,0,combined,17,olink_klk4
oral_pharynx_cancer,0,combined,18,olink_ccl17
oral_pharynx_cancer,0,combined,19,olink_rln2
oral_pharynx_cancer,0,combined,20,olink_optc
oral_pharynx_cancer,0,combined,21,olink_skiv2l
oral_pharynx_cancer,0,combined,22,olink_ptprc
oral_pharynx_cancer,0,combined,23,olink_mrc1
oral_pharynx_cancer,0,combined,24,olink_spred2
oral_pharynx_cancer,0,combined,25,olink_ccl27
oral_pharynx_cancer,0,combined,26,olink_cd8a
oral_pharynx_cancer,0,combined,27,olink_tshb
oral_pharynx_cancer,0,combined,28,olink_s100p
oral_pharynx_cancer,0,combined,29,olink_havcr2
oral_pharynx_cancer,0,combined,30,olink_cytl1
oral_pharynx_cancer,0,combined,31,olink_il16
oral_pharynx_cancer,0,combined,32,olink_psg1
oral_pharynx_cancer,0,combined,33,olink_cst1
oral_pharynx_cancer,0,combined,34,olink_gnly
oral_pharynx_cancer,0,combined,35,olink_agrp
oral_pharynx_cancer,0,combined,36,olink_icam4
oral_pharynx_cancer,0,combined,37,olink_itgb2
oral_pharynx_cancer,0,combined,38,olink_psca
oral_pharynx_cancer,0,combined,39,olink_fgl1
oral_pharynx_cancer,0,combined,40,olink_cdk1
oral_pharynx_cancer,0,combined,41,olink_bsg
oral_pharynx_cancer,0,combined,42,olink_f10
oral_pharynx_cancer,0,combined,43,olink_blmh
oral_pharynx_cancer,0,combined,44,olink_podxl2
oral_pharynx_cancer,0,combined,45,olink_anpep
oral_pharynx_cancer,0,combined,46,olink_tbc1d17
oral_pharynx_cancer,0,combined,47,olink_acp5
oral_pharynx_cancer,0,combined,48,olink_siglec8
oral_pharynx_cancer,0,combined,49,olink_mertk
oral_pharynx_cancer,0,combined,50,olink_cd5l
oral_pharynx_cancer,2,protein,1,olink_pgf
oral_pharynx_cancer,2,protein,2,olink_nt5c1a
oral_pharynx_cancer,2,protein,3,olink_gnpda1
oral_pharynx_cancer,2,protein,4,olink_fhip2a
oral_pharynx_cancer,2,protein,5,olink_cpa2
oral_pharynx_cancer,2,protein,6,olink_ggt1
oral_pharynx_cancer,2,protein,7,olink_myo6
oral_pharynx_cancer,2,protein,8,olink_nedd4l
oral_pharynx_cancer,2,protein,9,olink_il2rb
oral_pharynx_cancer,2,protein,10,olink_rnf31
oral_pharynx_cancer,2,protein,11,olink_reg3g
oral_pharynx_cancer,2,protein,12,olink_scrg1
oral_pharynx_cancer,2,protein,13,olink_sumf1
oral_pharynx_cancer,2,protein,14,olink_tnfrsf6b
oral_pharynx_cancer,2,protein,15,olink_acy1
oral_pharynx_cancer,2,protein,16,olink_alcam
oral_pharynx_cancer,2,protein,17,olink_cxcl17
oral_pharynx_cancer,2,protein,18,olink_ckap4
oral_pharynx_cancer,2,protein,19,olink_prnd
oral_pharynx_cancer,2,protein,20,olink_s100g
oral_pharynx_cancer,2,protein,21,olink_sult2a1
oral_pharynx_cancer,2,protein,22,olink_letm1
oral_pharynx_cancer,2,protein,23,olink_nrcam
oral_pharynx_cancer,2,protein,24,olink_mmp12
oral_pharynx_cancer,2,protein,25,olink_fbp1
oral_pharynx_cancer,2,protein,26,olink_insr
oral_pharynx_cancer,2,protein,27,olink_sowaha
oral_pharynx_cancer,2,protein,28,olink_lama4
oral_pharynx_cancer,2,protein,29,olink_dlk1
oral_pharynx_cancer,2,protein,30,olink_brdt
oral_pharynx_cancer,2,protein,31,olink_dkk4
oral_pharynx_cancer,2,protein,32,olink_dnm1
oral_pharynx_cancer,2,protein,33,olink_adam15
oral_pharynx_cancer,2,protein,34,olink_mthfd2
oral_pharynx_cancer,2,protein,35,olink_cd3d
oral_pharynx_cancer,2,protein,36,olink_slc34a3
oral_pharynx_cancer,2,protein,37,olink_vwa1
oral_pharynx_cancer,2,protein,38,olink_col28a1
oral_pharynx_cancer,2,protein,39,olink_pnpt1
oral_pharynx_cancer,2,protein,40,olink_pcdh12
oral_pharynx_cancer,2,protein,41,olink_guca2a
oral_pharynx_cancer,2,protein,42,olink_krt19
oral_pharynx_cancer,2,protein,43,olink_il12rb1
oral_pharynx_cancer,2,protein,44,olink_siglec15
oral_pharynx_cancer,2,protein,45,olink_hsp90b1
oral_pharynx_cancer,2,protein,46,olink_stab2
oral_pharynx_cancer,2,protein,47,olink_tmprss15
oral_pharynx_cancer,2,protein,48,olink_cda
oral_pharynx_cancer,2,protein,49,olink_rbp1
oral_pharynx_cancer,2,protein,50,olink_ruvbl1
oral_pharynx_cancer,2,blood,1,blood_Platelet count
oral_pharynx_cancer,2,blood,2,blood_Mean sphered cell volume
oral_pharynx_cancer,2,blood,3,blood_Reticulocyte percentage
